date,geoid,value1,value2
2023-01-05,35,19,93
2023-01-06,35,13,89
2023-01-07,35,4,68
2023-01-08,35,8,68
2023-01-09,35,5,69
2023-01-10,35,7,66
2023-01-11,35,3,52
2023-01-12,35,5,44
2023-01-13,35,4,38
2023-01-14,35,5,32
2023-01-15,35,0,30
2023-01-16,35,4,34
2023-01-17,35,5,39
2023-01-18,35,5,35
2023-01-19,35,5,32
2023-01-20,35,1,28
2023-01-21,35,1,21
2023-01-22,35,0,16
2023-01-23,35,2,20
2023-01-24,35,2,19
2023-01-25,35,0,14
2023-01-26,35,0,9
2023-01-27,35,3,11
2023-01-28,35,4,15
2023-01-29,35,0,7
2023-01-30,35,2,12
2023-01-31,35,1,12
2023-02-01,35,1,12
2023-02-02,35,0,12
2023-02-03,35,0,9
2023-02-04,35,0,9
2023-02-05,35,2,13
2023-02-06,35,2,10
2023-02-07,35,1,11
2023-02-08,35,2,8
2023-02-09,35,1,9
2023-02-10,35,2,11
2023-02-11,35,1,11
2023-02-12,35,1,9
2023-02-13,35,0,8
2023-02-14,35,3,12
2023-02-15,35,3,13
2023-02-16,35,3,12
2023-02-17,35,1,11
2023-02-18,35,1,8
2023-02-19,35,0,5
2023-02-20,35,1,9
2023-02-21,35,1,10
2023-02-22,35,1,11
2023-02-23,35,0,10
2023-02-24,35,0,8
2023-02-25,35,0,8
2023-02-26,35,0,8
2023-02-27,35,1,8
2023-02-28,35,0,9
2023-03-01,35,0,8
2023-03-02,35,1,9
2023-03-03,35,2,9
2023-03-04,35,0,9
2023-03-05,35,0,9
2023-03-06,35,2,7
2023-03-07,35,0,6
2023-03-08,35,0,8
2023-03-09,35,0,8
2023-03-10,35,1,9
2023-03-11,35,0,8
2023-03-12,35,0,6
2023-03-13,35,2,8
2023-03-14,35,2,9
2023-03-15,35,0,9
2023-03-16,35,1,10
