date,geoid,value
2023-03-06,08,3
2023-03-06,35,2
2023-03-06,49,0
2023-03-07,04,7
2023-03-07,08,3
2023-03-07,35,2
2023-03-07,49,0
2023-03-08,04,7
2023-03-08,08,3
2023-03-08,35,2
2023-03-08,49,0
2023-03-09,04,7
2023-03-09,08,3
2023-03-09,35,2
2023-03-09,49,1
2023-03-10,04,7
2023-03-10,08,2
2023-03-10,35,2
2023-03-10,49,1
2023-03-11,04,7
2023-03-11,08,2
2023-03-11,35,1
2023-03-11,49,1
2023-03-12,04,6
2023-03-12,08,2
2023-03-12,35,1
2023-03-12,49,1
2023-03-13,04,6
2023-03-13,08,1
2023-03-13,35,0
2023-03-13,49,1
2023-03-14,04,6
2023-03-14,08,1
2023-03-14,35,0
2023-03-14,49,1
2023-03-15,04,5
2023-03-15,08,0
2023-03-15,35,0
2023-03-15,49,1
2023-03-16,04,5
2023-03-16,08,0
2023-03-16,35,0
2023-03-16,49,2
